fund_code,fund_name,fund_type,manager,positioning,top_holdings,industry_allocation,one_year_return,volatility,max_drawdown,risk_level,suitable_clients,latest_nav,estimated_growth,data_source,data_updated_at
000157,富国全球科技互联网股票(QDII)A(后端),QDII-普通股票,未知,QDII-普通股票;科技,,,,,,未知,需结合产品说明书、官方风险等级和销售适当性规则确认,,,Eastmoney fundcode_search.js + pingzhongdata + fundgz,2026-06-24T11:37:17+00:00
000522,华润元大信息传媒科技混合A,混合型-偏股,李武群,混合型-偏股;科技,0.300394;0.002463;0.300308;1.688012;0.300502;0.002916;0.300476;1.688072;1.603228;1.600183,,178.62%,43.96%,-20.21%,未知,需结合产品说明书、官方风险等级和销售适当性规则确认,8.3504,2.61%,Eastmoney fundcode_search.js + pingzhongdata + fundgz,2026-06-24T11:37:19+00:00
000698,宝盈科技30混合,混合型-灵活,容志能、赵国进,混合型-灵活;科技,0.300502;0.002384;0.300953;0.300394;0.002463;1.688668;0.300476;1.601689;1.688676;1.688270,,188.80%,36.79%,-18.12%,未知,需结合产品说明书、官方风险等级和销售适当性规则确认,9.4610,2.05%,Eastmoney fundcode_search.js + pingzhongdata + fundgz,2026-06-24T11:37:21+00:00
000966,中邮核心科技创新灵活配置混合,混合型-灵活,曹思,混合型-灵活;科技,0.300395;0.300857;0.300900;0.002384;1.688037;0.301005;0.002149;0.002565;1.688041;0.300533,,69.34%,32.99%,-16.46%,未知,需结合产品说明书、官方风险等级和销售适当性规则确认,2.1930,4.06%,Eastmoney fundcode_search.js + pingzhongdata + fundgz,2026-06-24T11:37:32+00:00
001092,广发生物科技指数人民币(QDII)A,指数型-海外股票,刘杰,指数型-海外股票;科技,105.GILD;105.VRTX;105.AMGN;105.REGN;105.ALNY;105.INSM;105.BIIB;105.UTHR;105.ARGX;105.RPRX,,35.41%,20.06%,-8.47%,未知,需结合产品说明书、官方风险等级和销售适当性规则确认,,,Eastmoney fundcode_search.js + pingzhongdata + fundgz,2026-06-24T11:37:54+00:00
001093,广发生物科技指数美元(QDII)A,指数型-海外股票,刘杰,指数型-海外股票;科技,105.GILD;105.VRTX;105.AMGN;105.REGN;105.ALNY;105.INSM;105.BIIB;105.UTHR;105.ARGX;105.RPRX,,40.48%,19.98%,-8.10%,未知,需结合产品说明书、官方风险等级和销售适当性规则确认,0.2214,0.01%,Eastmoney fundcode_search.js + pingzhongdata + fundgz,2026-06-24T11:38:21+00:00
001167,金鹰科技创新股票A,股票型,陈颖,股票型;科技,1.688536;1.600547;1.603002;0.002517;1.600131;0.300682;1.603160;0.300036;1.688088;1.601020,,22.71%,26.02%,-16.75%,未知,需结合产品说明书、官方风险等级和销售适当性规则确认,1.9220,-0.21%,Eastmoney fundcode_search.js + pingzhongdata + fundgz,2026-06-24T11:38:23+00:00
001230,鹏华医药科技股票A,股票型,金笑非,股票型;科技;医药,1.688192;1.688197;1.603259;1.688235;1.600196;1.688302;0.300003;1.600276;1.688301;0.300357,,-1.98%,25.39%,-25.85%,未知,需结合产品说明书、官方风险等级和销售适当性规则确认,,,Eastmoney fundcode_search.js + pingzhongdata + fundgz,2026-06-24T11:38:44+00:00
001361,景顺长城中证科技传媒通信150ETF联接A,指数型-股票,金璜,指数型-股票;科技,,,163.31%,34.32%,-15.58%,未知,需结合产品说明书、官方风险等级和销售适当性规则确认,,,Eastmoney fundcode_search.js + pingzhongdata + fundgz,2026-06-24T11:39:11+00:00
001538,摩根科技前沿混合A,混合型-灵活,李德辉,混合型-灵活;科技,0.300750;0.300502;0.300308;0.300390;1.603699;0.002384;0.002028;0.002353;1.601899;1.603993,,128.61%,29.36%,-12.28%,未知,需结合产品说明书、官方风险等级和销售适当性规则确认,,,Eastmoney fundcode_search.js + pingzhongdata + fundgz,2026-06-24T11:39:32+00:00
001702,东方创新科技混合,混合型-灵活,严凯,混合型-灵活;科技,0.300567;1.688012;1.688037;1.688213;1.603236;1.688390;0.002156;0.002558;0.002281;0.301031,,158.07%,33.50%,-16.12%,未知,需结合产品说明书、官方风险等级和销售适当性规则确认,4.7095,3.59%,Eastmoney fundcode_search.js + pingzhongdata + fundgz,2026-06-24T11:39:34+00:00
001956,国联安科技动力,股票型,潘明,股票型;科技,0.300502;0.300308;1.688498;1.601869;0.300394;1.688048;0.300757;1.688205;0.300548;0.300620,,291.08%,52.28%,-19.10%,未知,需结合产品说明书、官方风险等级和销售适当性规则确认,,,Eastmoney fundcode_search.js + pingzhongdata + fundgz,2026-06-24T11:40:11+00:00
002244,景顺长城低碳科技主题混合,混合型-灵活,孟棋,混合型-灵活;科技,0.300308;0.300408;0.300394;1.603986;0.002463;0.002028;0.300502;1.688072;1.601100;0.300274,,183.10%,31.33%,-13.34%,未知,需结合产品说明书、官方风险等级和销售适当性规则确认,3.6010,1.89%,Eastmoney fundcode_search.js + pingzhongdata + fundgz,2026-06-24T11:40:13+00:00
002272,新华科技创新主题灵活配置混合,混合型-灵活,王永明,混合型-灵活;科技,0.300502;0.002384;0.300308;1.688313;1.688205;0.300731;1.688668;1.600105;0.002796;1.688167,,236.43%,44.17%,-19.56%,未知,需结合产品说明书、官方风险等级和销售适当性规则确认,3.3189,1.94%,Eastmoney fundcode_search.js + pingzhongdata + fundgz,2026-06-24T11:40:15+00:00
002683,民生加银前沿科技灵活配置混合,混合型-灵活,范明月,混合型-灵活;科技,0.301550;0.002850;0.300953;0.301413;1.603179;0.300115;1.688322;1.601689;1.603319;0.000700,,33.88%,36.11%,-25.90%,未知,需结合产品说明书、官方风险等级和销售适当性规则确认,1.1275,0.07%,Eastmoney fundcode_search.js + pingzhongdata + fundgz,2026-06-24T11:40:19+00:00
002692,富国创新科技混合A,混合型-偏股,罗擎,混合型-偏股;科技,0.002384;0.300308;0.300502;1.600487;0.002463;1.601869;0.300548;1.600498;1.600522;0.002796,,373.82%,45.25%,-16.66%,未知,需结合产品说明书、官方风险等级和销售适当性规则确认,6.0980,1.57%,Eastmoney fundcode_search.js + pingzhongdata + fundgz,2026-06-24T11:40:21+00:00
002707,大摩科技领先混合A,混合型-灵活,雷志勇、贾昌浩,混合型-灵活;科技,1.688777;0.300661;1.688372;1.603606;0.300054;1.603738;0.002916;0.001389;1.603986;1.688041,,150.46%,30.22%,-14.17%,未知,需结合产品说明书、官方风险等级和销售适当性规则确认,3.8335,2.31%,Eastmoney fundcode_search.js + pingzhongdata + fundgz,2026-06-24T11:40:23+00:00
003720,易方达标普生物科技美元汇A,指数型-海外股票,宋钊贤,指数型-海外股票;科技,105.APLS;105.ALKS;105.MDGL;105.TGTX;105.INSM;105.SRRK;105.APGE;105.PTGX;105.SMMT;105.UTHR,,69.83%,26.17%,-9.71%,未知,需结合产品说明书、官方风险等级和销售适当性规则确认,0.2865,0.01%,Eastmoney fundcode_search.js + pingzhongdata + fundgz,2026-06-24T11:40:25+00:00
003721,易方达标普信息科技指数(QDII-LOF)A(美元现汇),指数型-海外股票,刘依姗,指数型-海外股票;科技,105.NVDA;105.AAPL;105.MSFT;105.AVGO;105.MU;105.PLTR;105.AMD;105.CSCO;105.AMAT;105.LRCX,,36.96%,21.03%,-16.97%,未知,需结合产品说明书、官方风险等级和销售适当性规则确认,0.9893,0.01%,Eastmoney fundcode_search.js + pingzhongdata + fundgz,2026-06-24T11:40:33+00:00
004266,招商沪港深科技创新混合A,混合型-灵活,晏磊,混合型-灵活;科技,116.00700;116.00941;0.301550;0.300274;116.06088;1.605376;116.09988;1.688187;1.688009;0.300017,,42.17%,26.03%,-16.97%,未知,需结合产品说明书、官方风险等级和销售适当性规则确认,2.0631,3.90%,Eastmoney fundcode_search.js + pingzhongdata + fundgz,2026-06-24T11:40:35+00:00
